Name,Species,Amplitude,Frequency,Spectral_Desc_Mean,Spectral_Desc_Var,Spectral_Centroid,Audio
Proceratophrys,salvatori,19.706532,5512,-26,11304,3215,sample_audios_xeno_canto\Proceratophrys.wav
Pseudopaludicola,saltica,33.083916,5512,-22,9016,4276,sample_audios_xeno_canto\Pseudopaludicola.wav
Physalaemus,gracilis,0.02778115,5512,-18,20026,3915,sample_audios_xeno_canto\Physalaemus.wav
Ololygon,obtriangulata,2.6904274e-05,5512,-31,27725,4739,sample_audios_xeno_canto\Ololygon.wav
Mustela,erminea,0.0059961244,5512,-23,8042,3612,sample_audios_xeno_canto\Mustela.wav
Gryllodes,sigillatus,17.121096,5512,-33,18734,6729,sample_audios_xeno_canto\Gryllodes.wav
Rhinolophus,virgo,9.507426e-10,5512,-50,48413,5458,sample_audios_xeno_canto\Rhinolophus.wav
Lontra,canadensis,5.356823,5512,-3,6683,1501,sample_audios_xeno_canto\Lontra.wav
Pteropus,hypomelanus,288.2643,5512,-10,1960,5307,sample_audios_xeno_canto\Pteropus.wav
Emballonura,alecto,0.30851236,5512,-27,21201,3477,sample_audios_xeno_canto\Emballonura.wav
Myotis,capaccinii,0.00010847455,5512,-42,31948,7785,sample_audios_xeno_canto\Myotis.wav
Taphozous,melanopogon,0.0819648,5512,-15,13289,4186,sample_audios_xeno_canto\Taphozous.wav
Plecotus,auritus,1.5208577,5512,-25,9419,6683,sample_audios_xeno_canto\Plecotus.wav
Hylodes,fredi,99.4481,5512,-2,1471,3880,sample_audios_xeno_canto\Hylodes.wav
Sciurus,carolinensis,0.7515878,5512,-30,20253,3170,sample_audios_xeno_canto\Sciurus.wav
Papio,anubis,42.18996,5512,-30,7329,4377,sample_audios_xeno_canto\Papio.wav
Connochaetes,taurinus,2.8506134,5512,-11,5176,3058,sample_audios_xeno_canto\Connochaetes.wav
Oecanthus,euryelytra,1.2959013,5512,-11,9236,2288,sample_audios_xeno_canto\Oecanthus.wav
Capreolus,capreolus,103.767265,5512,-5,6515,3178,sample_audios_xeno_canto\Capreolus.wav
Saccolaimus,saccolaimus,0.043054916,5512,-17,14000,5608,sample_audios_xeno_canto\Saccolaimus.wav
Lutra,perspicillata,84.87131,5512,0,4073,4043,sample_audios_xeno_canto\Lutra.wav
Lariscus,insignis,74.8669,5512,-16,2951,5666,sample_audios_xeno_canto\Lariscus.wav
Alytes,obstetricans,1.9803176,5512,-8,8456,1748,sample_audios_xeno_canto\Alytes.wav
Myotis,emarginatus,0.022748828,5512,-37,16027,8370,sample_audios_xeno_canto\Myotis.wav
Plecotus,kolombatovici,0.006295744,5512,-38,17244,8541,sample_audios_xeno_canto\Plecotus.wav
Pipistrellus,pygmaeus,0.16165556,5512,-33,34353,1421,sample_audios_xeno_canto\Pipistrellus.wav
Velarifictorus,aspersus,0.09549997,5512,-23,9051,4838,sample_audios_xeno_canto\Velarifictorus.wav
Tettigonia,viridissima,0.7719381,5512,-13,4962,8354,sample_audios_xeno_canto\Tettigonia.wav
Sundasciurus,hoogstraali,14.952122,5512,-17,1938,4826,sample_audios_xeno_canto\Sundasciurus.wav
Axis,calamianensis,212.88364,5512,-14,3560,4785,sample_audios_xeno_canto\Axis.wav
Urocitellus,parryii,21.507618,5512,-32,11440,5919,sample_audios_xeno_canto\Urocitellus.wav
Ochotona,collaris,2.6856658,5512,-28,7529,4674,sample_audios_xeno_canto\Ochotona.wav
Pelobatrachus,nasutus,10.694208,5512,-10,6908,4206,sample_audios_xeno_canto\Pelobatrachus.wav
Ratufa,affinis,0.04321183,5512,-13,5656,4896,sample_audios_xeno_canto\Ratufa.wav
Microhyla,nepenthicola,0.4535624,5512,-9,7742,5225,sample_audios_xeno_canto\Microhyla.wav
Erythrocebus,patas,1.2267951,5512,-39,9995,5638,sample_audios_xeno_canto\Erythrocebus.wav
Rhinolophus,ferrumequinum,1.1413802e-05,5512,-37,22436,6311,sample_audios_xeno_canto\Rhinolophus.wav
Rhinolophus,blasii,0.14075139,5512,-25,23519,5349,sample_audios_xeno_canto\Rhinolophus.wav
Hypsugo,savii,0.13717951,5512,-25,25132,4898,sample_audios_xeno_canto\Hypsugo.wav
Pipistrellus,pipistrellus,0.14850046,5512,-24,25820,1844,sample_audios_xeno_canto\Pipistrellus.wav
Myotis,blythii,3764.935,5512,-1,1773,5002,sample_audios_xeno_canto\Myotis.wav
Miniopterus,schreibersii,10.186587,5512,-11,1659,4381,sample_audios_xeno_canto\Miniopterus.wav
Rhinolophus,hipposideros,9.880842,5512,-17,8603,3949,sample_audios_xeno_canto\Rhinolophus.wav
Tadarida,teniotis,3.5351021,5512,-14,1376,4592,sample_audios_xeno_canto\Tadarida.wav
Pipistrellus,kuhlii,24.98488,5512,-9,2036,5574,sample_audios_xeno_canto\Pipistrellus.wav
Pipistrellus,hanaki,20.789911,5512,-14,7218,5282,sample_audios_xeno_canto\Pipistrellus.wav
Scinax,perereca,25.812895,5512,-8,9198,3672,sample_audios_xeno_canto\Scinax.wav
Scinax,tymbamirim,1.3565837,5512,-10,7793,5591,sample_audios_xeno_canto\Scinax.wav
Thyreonotus,bidens,0.0018599732,5512,-27,10155,5626,sample_audios_xeno_canto\Thyreonotus.wav
Thyreonotus,corsicus,0.04117867,5512,-25,8742,7832,sample_audios_xeno_canto\Thyreonotus.wav
Leptodactylus,podicipinus,10.643603,5512,-17,3666,7691,sample_audios_xeno_canto\Leptodactylus.wav
Boana,raniceps,1.00856,5512,-22,9141,4539,sample_audios_xeno_canto\Boana.wav
Limnodynastes,dumerilii,121.07771,5512,-23,4732,4787,sample_audios_xeno_canto\Limnodynastes.wav
Eumops,auripendulus,1.105316,5512,-17,4204,5917,sample_audios_xeno_canto\Eumops.wav
Molossus,molossus,0.34241512,5512,-17,3925,6216,sample_audios_xeno_canto\Molossus.wav
Lophocebus,albigena,226.0755,5512,-31,8937,1770,sample_audios_xeno_canto\Lophocebus.wav
Macaca,fascicularis,231.5153,5512,-11,2575,3460,sample_audios_xeno_canto\Macaca.wav
Osteopilus,septentrionalis,34.912624,5512,-10,4156,2691,sample_audios_xeno_canto\Osteopilus.wav
Dendropsophus,werneri,6.3276067,5512,-35,8052,6427,sample_audios_xeno_canto\Dendropsophus.wav
Coracinotus,notarioi,0.14183271,5512,-19,5078,7098,sample_audios_xeno_canto\Coracinotus.wav
Chorthippus,maritimus,1.018172,5512,-5,5821,3189,sample_audios_xeno_canto\Chorthippus.wav
Sundasciurus,steerii,145.98756,5512,-14,2590,5198,sample_audios_xeno_canto\Sundasciurus.wav
Oecanthus,dulcisonans,2.8513315,5512,-19,10213,4746,sample_audios_xeno_canto\Oecanthus.wav
